20 0.8
40 0.775
60 0.733333333333
80 0.7375
100 0.68
120 0.691666666667
140 0.671428571429
160 0.66875
180 0.644444444444
200 0.625
220 0.636363636364
240 0.6125
260 0.615384615385
280 0.607142857143
300 0.593333333333
320 0.5875
340 0.576470588235
360 0.577777777778
380 0.565789473684
400 0.555
420 0.547619047619
440 0.538636363636
460 0.534782608696
480 0.539583333333
500 0.532
520 0.523076923077
540 0.522222222222
560 0.523214285714
580 0.51724137931
600 0.511666666667
620 0.504838709677
640 0.496875
660 0.487878787879
680 0.477941176471
700 0.474285714286


20 0.75
40 0.725
60 0.7
80 0.725
100 0.72
120 0.716666666667
140 0.692857142857
160 0.68125
180 0.661111111111
200 0.64
220 0.640909090909
240 0.633333333333
260 0.630769230769
280 0.621428571429
300 0.616666666667
320 0.615625
340 0.6
360 0.586111111111
380 0.568421052632
400 0.5675
420 0.561904761905
440 0.556818181818
460 0.565217391304
480 0.552083333333
500 0.544
520 0.544230769231
540 0.540740740741
560 0.530357142857
580 0.515517241379
600 0.51
620 0.506451612903
640 0.5015625
660 0.492424242424
680 0.480882352941
700 0.474285714286


20 0.9
40 0.8
60 0.733333333333
80 0.65
100 0.62
120 0.6
140 0.535714285714
160 0.55
180 0.527777777778
200 0.525
220 0.513636363636
240 0.5125
260 0.534615384615
280 0.521428571429
300 0.526666666667
320 0.503125
340 0.505882352941
360 0.505555555556
380 0.505263157895
400 0.505
420 0.509523809524
440 0.509090909091
460 0.50652173913
480 0.50625
500 0.502
520 0.488461538462
540 0.483333333333
560 0.4875
580 0.486206896552
600 0.486666666667
620 0.477419354839
640 0.4734375
660 0.475757575758
680 0.472058823529
700 0.474285714286


20 0.8
40 0.775
60 0.75
80 0.7625
100 0.74
120 0.75
140 0.742857142857
160 0.675
180 0.683333333333
200 0.685
220 0.668181818182
240 0.6625
260 0.653846153846
280 0.628571428571
300 0.616666666667
320 0.603125
340 0.585294117647
360 0.575
380 0.568421052632
400 0.5675
420 0.564285714286
440 0.561363636364
460 0.55652173913
480 0.54375
500 0.53
520 0.525
540 0.518518518519
560 0.508928571429
580 0.505172413793
600 0.501666666667
620 0.496774193548
640 0.4890625
660 0.484848484848
680 0.479411764706
700 0.474285714286


20 1.0
40 0.975
60 0.933333333333
80 0.9125
100 0.9
120 0.891666666667
140 0.878571428571
160 0.85625
180 0.844444444444
200 0.805
220 0.786363636364
240 0.770833333333
260 0.761538461538
280 0.746428571429
300 0.726666666667
320 0.7125
340 0.7
360 0.672222222222
380 0.663157894737
400 0.65
420 0.645238095238
440 0.622727272727
460 0.608695652174
480 0.597916666667
500 0.576
520 0.565384615385
540 0.555555555556
560 0.544642857143
580 0.53275862069
600 0.526666666667
620 0.511290322581
640 0.5
660 0.489393939394
680 0.483823529412
700 0.474285714286


20 0.95
40 0.95
60 0.9
80 0.9
100 0.88
120 0.883333333333
140 0.842857142857
160 0.84375
180 0.838888888889
200 0.825
220 0.8
240 0.791666666667
260 0.784615384615
280 0.760714285714
300 0.74
320 0.73125
340 0.714705882353
360 0.705555555556
380 0.694736842105
400 0.69
420 0.678571428571
440 0.656818181818
460 0.64347826087
480 0.625
500 0.61
520 0.596153846154
540 0.583333333333
560 0.566071428571
580 0.551724137931
600 0.538333333333
620 0.524193548387
640 0.5140625
660 0.501515151515
680 0.488235294118
700 0.474285714286


20 0.95
40 0.925
60 0.933333333333
80 0.9125
100 0.9
120 0.875
140 0.864285714286
160 0.8625
180 0.85
200 0.83
220 0.822727272727
240 0.795833333333
260 0.776923076923
280 0.757142857143
300 0.74
320 0.728125
340 0.717647058824
360 0.705555555556
380 0.694736842105
400 0.68
420 0.669047619048
440 0.656818181818
460 0.641304347826
480 0.627083333333
500 0.616
520 0.596153846154
540 0.57962962963
560 0.564285714286
580 0.551724137931
600 0.536666666667
620 0.525806451613
640 0.5140625
660 0.501515151515
680 0.488235294118
700 0.474285714286

