#test_type,lmi,pmi,freq,condition
fastText,0.010363501322826721,0.0011401470024826595,0.010455638557393834,0.0004866012698185263
ESIM,0.005576531312566154,0.00127960215226481,0.005638061079053581,0.00038692440383563455
BERT,0.007159531778269906,0.00090619839184851,0.007224454452190591,0.0004040230779820312
roBERTa,0.005915367916360472,0.0010742452765414622,0.005962791400305923,0.0004662172181668499
