#test_type,lmi,pmi,freq,condition
fastText,0.007655685392489203,0.006405180543010575,0.0075081975864285735,0.006405180543010575
ESIM,0.007198266607451627,0.0060865626736933106,0.006983458000814307,0.0060865626736933106
BERT,0.013260329906117441,0.010861007352477569,0.01221701286979461,0.010861007352477569
roBERTa,0.012505556022075984,0.010172894027432815,0.011324410070043117,0.010172894027432815
