1	3948015	7446610	10027448	12285152	17538237	21080324
2	14368935	25509768	34215452	40750201	55554673	66468770
3	15015733	26822636	36077257	43013917	59264216	70232955
4	15021055	26832511	36089833	43031061	59298964	70257716
5	15021793	26834689	36092677	43034202	59302676	70262318
6	15023147	26835755	36094226	43035889	59304859	70265218
7	15023627	26836554	36095296	43037178	59306949	70267577
8	15024020	26837164	36095976	43038088	59308497	70269288
9	15025473	26838981	36097847	43040225	59310778	70271734
10	15025950	26839707	36098659	43041186	59311920	70273086
11	15026280	26840344	36099490	43042241	59313087	70274328
12	15026523	26840803	36100040	43043014	59313932	70275322
13	15026768	26841233	36100599	43043635	59314716	70276247
14	15026992	26841663	36101142	43044265	59315468	70277138
15	15027299	26842078	36101643	43044915	59316107	70277807
16	15027558	26842503	36102192	43045450	59316883	70278558
17	15027803	26842878	36102667	43045986	59317618	70279221
18	15027957	26843226	36103090	43046484	59318115	70279751
19	15028095	26843462	36103417	43046859	59318467	70280266
20	15028275	26843821	36103833	43047204	59318874	70280778
21	15028463	26844140	36104164	43047597	59319407	70281260
22	15028689	26844396	36104429	43047943	59319841	70281626
23	.	26844569	36104670	43048223	59320125	70281942
24	.	26844847	36104933	43048805	59320373	70282231
25	.	26845039	36105200	43049060	59320827	70282506
26	.	26845235	36105425	43049344	59321141	70282978
27	.	26845590	36105796	43049714	59321376	70283255
28	.	26845745	36105969	43049936	59321513	70283516
29	.	26845940	36106186	43050203	59321678	70283776
30	.	26846129	36106402	43050468	59321948	70284017
31	.	26846242	36106530	43050626	59322089	70284159
32	.	26846397	36106728	43050849	59322325	70284436
33	.	26846544	36106913	43051034	59322483	70284628
34	.	.	36107037	43051172	59322616	70284774
35	.	.	.	43051296	59322699	70284901
36	.	.	.	43051440	59322860	70285024
37	.	.	.	43051548	59322999	70285224
38	.	.	.	43051699	59323252	70285356
39	.	.	.	43051820	59323391	70285529
40	.	.	.	43051927	59323565	70285778
41	.	.	.	43052114	59323852	70285929
42	.	.	.	43052246	59324005	70286050
43	.	.	.	43052351	59324164	70286297
44	.	.	.	43052615	59324287	70286400
45	.	.	.	.	59324561	70286566
46	.	.	.	.	59324674	70286642
47	.	.	.	.	.	70286886
48	.	.	.	.	.	70286978
