Dataset	CF	GCF	W3	STM	EFM	GEFM	SAR
#=====================
Phoenix	0.0108210327941523	0.0140817334074809	0.0123046069131037	0.000200564173952168	0.0140608437496631	0.0150	0.0240540428540849
Singapore	0.00856380083725535	0.00875896435880487	0.00666729494830843	0.000290375283073413	0.00762530178348199	0.0078	0.0126435670856941
