Metrics	CF	GCF	W3	STM	EFM	GEFM	SAR
#=====================
Precision@5	0.00228571428571429	0.00257142857142857	0.00342857142857143	0.000454545454545455	0.00371428571428571	0.00371428571428571	0.00428571428571429
Precision@10	0.00285714285714286	0.00357142857142857	0.004	0.000227272727272727	0.00285714285714286	0.00285714285714286	0.00457142857142857
