20	50	117598701.57266
20	100	117917615.68054
20	150	117830354.503992
20	200	117339831.196427
20	300	117542433.45126

50	50	117806644.062366
50	100	117727241.593605
50	150	117850584.760049
50	200	117467866.143881
50	300	117517132.113231

100	50	117881147.753363
100	100	117836099.356261
100	150	117602428.470098
100	200	117602428.470098
100	300	117724763.450302

150	50	117852952.269868
150	100	117806072.030661
150	150	117731912.0056
150	200	117968649.268225
150	300	117993738.742511

200	50	117945291.277643
200	100	117813794.169701
200	150	117970215.129709
200	200	117952528.555446
200	300	118069356.150494

