Dataset	CF	GCF	W3	STM	EFM	GEFM	SAR
#=====================
Phoenix	0.00439613978243761	0.00468185688142836	0.00289571876788512	0.000119323432035063	0.00267396347217362	0.0027	0.0114142042048736
Singapore	0.0270039156499477	0.0268418166033999	0.034616247346464	0.00654878201958566	0.0329659569482627	0.033410691426617	0.0419039309768258
