20	100	20638057.4121814
20	150	20870860.3415076
20	200	20448037.8182264
20	250	20711638.8176028
20	300	21090391.4433082

50	100	20710598.9657034
50	150	20958173.9204098
50	200	20259175.3768728
50	250	20774640.4896372
50	300	20816546.4906254

100	100	20840694.591362
100	150	20914247.1155944
100	200	20577088.3391974
100	250	20186622.7050896
100	300	21077524.1223184

150	100	20672146.5869904
150	150	20956827.084164
150	200	20455507.980406
150	250	20724912.0439878
150	300	20651623.6045366

200	100	20843542.702801
200	150	20868730.3043934
200	200	20690892.1698402
200	250	20635700.1122948
200	300	21047468.0408032

