# Data extracted from the table for plotting
Category Original B-Noise 50%H-Noise 100%H-Noise 200%H-Noise 300%H-Noise 50%O-Noise 100%O-Noise 200%O-Noise 300%O-Noise
roberta_Entailed_Lexi 98.84 98.28 98.62 98.22 99.16 98.44 98.44 97.9 99.08 97.7
roberta_Entailed_Subs 99.96 99.96 100 99.98 99.88 99.64 99.74 99.82 99.98 99.86
roberta_Entailed_Cons 99 99 98.9 99.5 99.4 98.16 98.86 99.36 99.24 98.96
roberta_Non-Entailed_Lexi 67.18 72.40 72.52 71.60 65.40 78.10 75.38 70.52 64.12 73.34
roberta_Non-Entailed_Subs 32.92 30.84 28.22 21.84 28.08 33.04 31.02 25.70 27.12 30.72
roberta_Non-Entailed_Cons 31.00 35.76 42.38 23.18 32.68 28.60 45.04 33.70 33.80 32.7
roberta_hans_Overall 71.48 72.71 73.44 69.05 70.77 72.66 74.75 71.17 70.56 72.21

