#rho	POS-Dist	POS-Mine	WV-Dist	WV-Mine	Retail-Dist	Retail-Mine
0.1	0.50220135	0.561033561	0.207680073	0.246094634	0.152532391	0.175938667
0.3	0.63915979	0.744920993	0.226845638	0.302294197	0.237140949	0.397849462
0.5	0.650273224	0.819012797	0.223602484	0.374233129	0.265625	0.525252525
0.7	0.7875	0.814814815	0.071428571	0.259259259	0.402597403	0.684210526
0.9	0.8	1	0	0	0.406779661	0.819672131
