#Dataset	TDControl_0.7	Global_0.7	Mine_0.7	Dist_0.7
POS	0	0	0.814814815	0.7875
WV	0	0.08	0.259259259	0.107142857
Retail 	0	0.24	0.684210526	0.402597403

