test_type,lmi_o,lmi_f,pmi_o,pmi_f,freq_o,freq_f,condition_o,condition_f,wp_o,wp_f,cos_o,cos_f,ratio_o,ratio_f,w_ratio_o,w_ratio_f,angle_diff_o,angle_diff_f
acc_fastText,0.12840119334180713,0.133357285052132,0.006312972360936753,0.006241796065544081,0.12846770638714683,0.13021829812994906,0.006312972360936753,0.005922920221313312,0.010244503458228558,0.00890771887710537,0.006312972360936753,0.005572417517258664,0.0067911863717378205,0.005821111066023324,0.01729028745932469,0.021676935986079157,0.006312972360936753,0.005483196765158143
acc_ESIM,0.11234137879950419,0.11336718766738704,0.016357373915906734,0.016553046882700213,0.11212546303978088,0.11211131132931507,0.016357373915906734,0.010285522082897219,0.01991814239489146,0.02164833366910769,0.016384981043334818,0.013627947447462643,0.018417395092454176,0.016574674853498193,0.022483763900253962,0.024609475366609804,0.016357373915906734,0.017344104430405627
acc_bert,0.01595218243690815,0.017867407967042923,0.005840929416815628,0.00574324620114993,0.016133699613721984,0.01618090384363667,0.005840929416815628,0.007334673129636862,0.0072034272170176175,0.009170493931505562,0.005896667317073676,0.0066906640445681285,0.006062140075901,0.006212241183640032,0.007397418128227325,0.011985277035281213,0.005840929416815628,0.006047555743477953
acc_roberta,0.023902228592130936,0.019589824027094756,0.016258395416717093,0.016304456155730264,0.024262448613613083,0.023568829889282245,0.016258395416717093,0.014435229320616364,0.0235672396900145,0.03913854864560399,0.01603592600626103,0.022086758674795648,0.016953515637461412,0.017666332264854586,0.02881841155901214,0.0368806670531491,0.016258395416717093,0.02134381185360796
dist_fastText,0.091981290230389,0.0070884546916269945,0.04410518603855594,0.04430226928550589,0.07046774957816146,0.06868398024970315,0.04410518603855594,0.0060413201841532215,0.19549408040420266,0.018696906815049763,0.04407012074379557,0.011836262555497936,0.051045310220882004,0.04223111648087654,0.2181625859337807,0.01658662860693877,0.04410518603855594,0.014667295524704813
dist_ESIM,0.01741912923756948,0.010838102954940169,0.025372827747618294,0.025412791079795986,0.016807550537732578,0.016691353229006244,0.025372827747618294,0.017026087480232387,0.03590468508753941,0.04368803090888676,0.025150358337162233,0.024471432158968832,0.02790568581481557,0.027001742637366273,0.04388159264996461,0.04100179032136147,0.025372827747618294,0.028110136142479314
dist_bert,0.01695006799769892,0.009988651298378233,0.01913279649054328,0.01928313729868448,0.01652156106884172,0.016533329869964346,0.01913279649054328,0.006100809686638601,0.03321351572322032,0.02458594999854597,0.019089376395253772,0.015433714963791654,0.022468915865562065,0.019614635035582913,0.04536690131265049,0.018597658088278655,0.01913279649054328,0.016661007554362818
dist_roberta,0.011757514034096766,0.01013018706648977,0.021756918122457315,0.021805043182548552,0.011535405863333428,0.011518282492243043,0.021756918122457315,0.013903780199726445,0.02978594300830545,0.041513978407684164,0.021488946982022857,0.023730335173521765,0.02394671050499391,0.02311070004829419,0.031150579594719962,0.0362314618862576,0.021756918122457315,0.02319500568974161
