test_type,lmi_o,lmi_f,pmi_o,pmi_f,freq_o,freq_f,condition_o,condition_f,wp_o,wp_f,cos_o,cos_f,ratio_o,ratio_f,w_ratio_o,w_ratio_f,angle_diff_o,angle_diff_f
acc_fastText,0.03797623820617505,0.027687804639053227,0.0006799078499926006,0.0006553587490875723,0.037994881292780606,0.037991274607519894,0.0004832181331576912,0.0004177708235228785,0.002361658343450633,0.0004017798348375385,0.000395324821365625,0.0003806711361797182,0.00038439318741892686,0.0003599978189624057,0.018719303734497383,0.000699767929392145,0.0003955114752717948,0.0003399371283497076
acc_ESIM,0.029665188184243442,0.02036336571442928,0.0006962542370677363,0.0006739221656719942,0.029690717484841988,0.029692665775230734,0.0004768920798431388,0.00038880610329917434,0.002211299133624266,0.00037499767821242027,0.0003920652448069881,0.0003651977483561818,0.0003817071620275619,0.0003580802951614624,0.008246389258306392,0.00037498758655001593,0.00039507664100981577,0.00034216828941734085
acc_bert,0.04408840170217105,0.03438123015339187,0.000654874057023647,0.0006348486969525218,0.044097155734299315,0.04410039427879904,0.0004970195104347266,0.0004579087035440196,0.0016072938291298309,0.00043984646269413385,0.0003873162712035507,0.0004170680046552148,0.0003848090561442116,0.0003672028658800862,0.02071885471910938,0.0007379261566893836,0.0003903692196650467,0.0003715739714454653
acc_roberta,0.04785356819323722,0.039329515722680855,0.0006494343654698313,0.000607748791235187,0.047873361591193486,0.04786670487238737,0.0004687944233964763,0.00041363770480042013,0.0016309704087189405,0.0004019555972714624,0.0003735101911871676,0.00038111924182995414,0.000366291577876836,0.000343055003089842,0.01885378836417641,0.0007001123300186638,0.0003765267892068832,0.000331754813653628
dist_fastText,0.013349565116298019,0.0003725460913734479,0.0009009831753636849,0.0008773314897804849,0.013338592358506048,0.01333423029109573,0.0004857878378431771,0.00037740892079914383,0.002692447914656226,0.00036882696490041775,0.00046900599896646,0.00035946815438287253,0.0004601411802051716,0.00041823221637238576,0.011312800953448504,0.00036869597087992983,0.0004691178723456923,0.00036269933585357316
dist_ESIM,0.009150744238365652,0.0003644090983725896,0.0010521849467413063,0.0010293400382824932,0.00920728724581512,0.009203235718489779,0.00040896810494274997,0.00034526504876917114,0.004440971920545484,0.00036326399743023303,0.000500543174348076,0.0003552762131093146,0.0004495581855851907,0.00040695656297493456,0.01540267953787531,0.00036323565620199004,0.0005035150226994024,0.0003682599321789327
dist_bert,0.008541473935562389,0.00036321420818171064,0.000766768682729201,0.0007421552014291354,0.008577334366029454,0.0085698602508737,0.00046032274063770415,0.0003522810424512962,0.001943876487509275,0.00036231519438282905,0.0004159507216187531,0.00035292746397589596,0.00039319203024323684,0.0003560276420086712,0.005824312537274904,0.0003621272821344364,0.00041895578209372663,0.0003400690046277836
dist_roberta,0.007829746977193875,0.000362638333800235,0.0008569730287402924,0.0008350830635524386,0.007882185196986292,0.007876681699869732,0.00045401512783408386,0.00035269677373991713,0.0023755743668740573,0.0003619757576766104,0.0004457771883489292,0.00035392887066036085,0.0004492115703654414,0.0004056305927960988,0.00651365840203254,0.0003618108095662673,0.00044875895323781225,0.0003615306713093019
