test_type,lmi_o,lmi_f,pmi_o,pmi_f,freq_o,freq_f,condition_o,condition_f
acc_fastText,0.0003515670325861584,0.0006241958080280208,0.0021172181009988912,0.0021137635262708145,0.00036245245443761653,0.0003619294522628664,0.00019411786349740178,0.00020819449173508335
acc_ESIM,0.0004890100808726485,0.0002983121133258869,0.0005129557963790184,0.000511093521511528,0.0004897528237478575,0.0004895050425921352,0.0003082109266824021,0.0002453657295997197
acc_bert,0.00042915539359667475,0.00041977641736400497,0.0007424417223053433,0.0006772230783322748,0.00043027600196730604,0.00043014602339796636,0.0003008761882861582,0.00025333794040308837
acc_roberta,0.00038630755296434,0.0008637782195917062,0.0003663302033442581,0.0003615668381384616,0.00038897402189422785,0.00038839505657615753,0.0002523241202005902,0.00020761093032706343
dist_fastText,0.00045258131559732797,0.0002564917175696987,0.00046694154883843484,0.0004598063512592004,0.00045318014969167563,0.00045272524023235084,0.00031218669421389177,0.00032849438810056105
dist_ESIM,0.00036228733012722654,0.001103957448395965,0.0014360900729659457,0.0014302746859674517,0.000369506357442346,0.0003689450602509092,0.00020156718166505354,0.0002272520626832001
dist_bert,0.00036796910894255685,0.0009885336788672647,0.005549266913539496,0.004897493070731638,0.00037536439524726086,0.000374752766282459,0.00015618754238989029,0.0001795379860051534
dist_roberta,0.00045527843948171007,0.00025238197786678747,0.0023950754138651756,0.0023437349285858103,0.00047343845731460086,0.00047203140187810006,0.00014601404344203009,0.00016280895629702135
