test_type,lmi_o,pmi_o,freq_o,condition_o,wp_o,cos_o,ratio_o,w_ratio_o,angle_diff_o
acc_fastText,0.009781232446903095,0.008761586692225072,0.009781232446903095,0.008761586692225072,0.003413867206530314,0.003757779441764631,0.008761586692225072,0.008761586692225072,0.008761586692225072
acc_ESIM,0.007840067127746358,0.004911451177350382,0.007840067127746358,0.004911451177350382,0.004928389909511055,0.005010411761403782,0.004911451177350382,0.004911451177350382,0.004911451177350382
acc_bert,0.008028688390158627,0.009440016556820186,0.008028688390158627,0.009440016556820186,0.00928447599143312,0.009356740896343443,0.009440016556820186,0.009440016556820186,0.009440016556820186
acc_roberta,0.10920467666630225,0.04411495365962348,0.10920467666630225,0.04411495365962348,0.034650821061849524,0.034758675837105,0.04411495365962348,0.04411495365962348,0.04411495365962348
dist_fastText,0.018693794022954822,0.013596059389091633,0.018693794022954822,0.013596059389091633,0.10993162174015395,0.10999393499344592,0.013596059389091633,0.013596059389091633,0.013596059389091633
dist_ESIM,0.007337921411473276,0.007398367099167355,0.007337921411473276,0.007398367099167355,0.007262417291917402,0.00732473054520937,0.007398367099167355,0.007398367099167355,0.007398367099167355
dist_bert,0.017990160284807172,0.01272540270297641,0.017990160284807172,0.01272540270297641,0.012536955863614429,0.012595838275438018,0.01272540270297641,0.01272540270297641,0.01272540270297641
dist_roberta,0.013517638947745755,0.011329695444446886,0.013517638947745755,0.011329695444446886,0.10803829312030866,0.10809554568296079,0.011329695444446886,0.011329695444446886,0.011329695444446886
