test_type,lmi_o,lmi_f,pmi_o,pmi_f,freq_o,freq_f,condition_o,condition_f,wp_o,wp_f,cos_o,cos_f,ratio_o,ratio_f,w_ratio_o,w_ratio_f,angle_diff_o,angle_diff_f
acc_fastText,0.00581109447519562,0.01060178614359689,0.004804609197933075,0.004770327780053198,0.005799001296293446,0.005810904028834866,0.004804609197933075,0.0036346141488703106,0.0055544193651797585,0.007003134935702667,0.004797426837809538,0.0062848999766540094,0.005266631476910277,0.005218050605490082,0.006521941456007506,0.005310812326955287,0.004804609197933075,0.005901444831315312
acc_ESIM,0.005096501570360951,0.019474919681302532,0.004580300734379995,0.004558302009386593,0.005222471668024347,0.005203249592667448,0.004580300734379995,0.004326179281411809,0.0060624132558837005,0.005643302926949632,0.004569541706918571,0.005631033812033827,0.005563089544364298,0.0048397325788242605,0.006041077975208419,0.004804294080565701,0.004580300734379995,0.005142280710508473
acc_bert,0.003964139599977793,0.018101377557830436,0.002948240860581234,0.002953344346590216,0.004220176250939087,0.00424506024244159,0.002948240860581234,0.004202061315806621,0.002862468615483998,0.005158871230618946,0.0029369029566896744,0.004862501877647237,0.003001040632514408,0.003172858376399347,0.002880955728348302,0.004812593768831364,0.002948240860581234,0.003561931677625917
acc_roberta,0.0048509309369771676,0.005088465407799208,0.0030514731136345257,0.0030477634271231383,0.005169521016827314,0.005076966507688623,0.0030514731136345257,0.002743068882855862,0.0031248282774855264,0.003026011218694815,0.0030451507714499134,0.0028136199307752666,0.0031361797350775295,0.002942187238442296,0.0033895272349997126,0.003130733457799341,0.0030514731136345257,0.0026272620641938403
dist_fastText,0.007004827139880915,0.007046372834136264,0.006532806624311378,0.006352626664296364,0.0067324627827169735,0.006735151453856806,0.006532806624311378,0.005819505216563166,0.010458671467529677,0.006807237132068047,0.006543224918836564,0.00787882590200232,0.007509554667155152,0.006904994880986487,0.014730462821619782,0.005972624959285177,0.006532806624311378,0.007720853572059696
dist_ESIM,0.007688154366575812,0.003780480745824184,0.006519896122484464,0.006360815103842782,0.007410402859853814,0.007435754456878513,0.006519896122484464,0.005000310559044803,0.010866194614405853,0.006324032486950573,0.006515576924127679,0.006999036282694366,0.007616414480746904,0.007016435536113764,0.015453500068980313,0.0047465569828436275,0.006519896122484464,0.0075141347955841485
dist_bert,0.010091646304667991,0.003691364437314526,0.011774783818343692,0.011592730166649641,0.009400026176820607,0.009410028746655672,0.011774783818343692,0.008074356768282593,0.026264304337247146,0.020915663092280604,0.011753050987280233,0.011790682373503374,0.01568196872477103,0.014844330902278319,0.031040598490121203,0.005922177976762089,0.011774783818343692,0.013164758320048986
dist_roberta,0.010123389170280703,0.004812659342176577,0.0117517865016168,0.01157431177921645,0.009388973821039152,0.009454759442926444,0.0117517865016168,0.007839665740015024,0.025508496348310976,0.02842230116110006,0.011730053670553343,0.015902324192574348,0.015559168808725796,0.014767874538737966,0.030246215262924887,0.00856272793080004,0.0117517865016168,0.015868368880252108
