5	7.148	6.906	7.268	7.263	7.268	7.1706	0.709	0.721	0.709	0.709	0.755	0.7206
10	3.815	3.921	3.895	3.902	3.981	3.9028	0.646	0.661	0.660	0.652	0.662	0.6562 
15	3.024	2.961	3.180	2.980	2.977	3.0244	0.617	0.636	0.636	0.631	0.636	0.6312 
20	2.658	2.782	2.644	2.903	2.696	2.7366	0.617	0.621	0.877	0.602	0.604	0.6110
25	2.383	2.570	2.393	2.375	2.364	2.4170	0.596	0.603	0.592	0.602	0.606	0.5998
30	2.237	2.109	2.410	2.114	2.162	2.2064	0.593	0.594	0.588	0.582	0.579	0.5872
35	1.901	2.039	1.916	2.040	1.887	1.9566	0.585	0.577	0.565	0.565	0.574	0.5732
40	1.870	1.867	1.814	1.868	2.074	1.8986	0.564	0.563	0.561	0.562	0.559	0.5618

