#datasize 0.02 0.02 0.02
#"cluster size" "total time"
#"time" "LDA" "DCMLDA"	"SLDA"
#16 18152.218  10119.7	 6481.5
24 13237.7    10253.75	 6094.3
36 8770.559	  8028.2	 5182.9 
48 7000		6428		4000
