#agent  mem(avg)  max#w(avg)  max#w(max)  cpu(avg)  cpu(max)  mem(max)
10      16.99     15.4        25          3.2       6         47.5
20      67        27          63          8.9       27        187.8
30      165.98    58.4        113         33.5      91        221
40      178.2     69.2        141         51.9      110       210.8
