Category	Arts & Entertainment	College & University	Food	Professional & Other Places	Nightlife Spot	Residence	Outdoors & Recreation	Shop & Service	Travel & Transport
Arts & Entertainment	0.19566087	0.022960252	0.333327331	0.144838088	0.170267594	0.029140371	0.032613036	0.131073627	0.049191792
College & University	0.094685964	0.242817066	0.263069007	0.187057341	0.088894835	0.030240413	0.017995124	0.153759902	0.033529912
Food	0.075377313	0.016066317	0.475256086	0.116820901	0.215285896	0.021103141	0.023604942	0.160720409	0.038694229
Professional & Other Places	0.087087598	0.027010689	0.325319638	0.227141194	0.138809981	0.026537234	0.03185657	0.180069278	0.054482782
Nightlife Spot	0.082558338	0.011981169	0.466147272	0.10719225	0.266060643	0.022928514	0.024110498	0.142264159	0.040681779
Residence	0.091531346	0.026686487	0.258974904	0.109889384	0.136394656	0.13108746	0.044780256	0.133140849	0.040893916
Outdoors & Recreation	0.082540731	0.011409931	0.223942024	0.114808465	0.103841707	0.039325687	0.088888906	0.126326269	0.030339143
Shop & Service	0.071906111	0.019300987	0.380419362	0.148752134	0.151156652	0.024214868	0.032142	0.257263096	0.034986286
