0       191
#10      77
#20      49
#30      61
#40      27
#50      114
#60      59
#70      36
#80      96
#90      247
#100     543
0       609
0.1     353
0.2     223
0.3     287
0.4     363
0.5     478
0.6     309
0.7     203
0.8     326
0.9     607
1       1742
