#Dataset	TDControl_0.3	Global_0.3	Mine_0.3	Dist_0.3
POS	0	0.23	0.744920993	0.63915979
WV	0	0.29	0.302294197	0.226845638
Retail 	0	0.17	0.397849462	0.237140949
