home	6.796692777953E-5
minute	4.3421680848579274E-5
afternoon	3.855750066347989E-5
15 minute	2.8610358174263813E-5
hour	2.4042827920988668E-5
10 minute	1.4225994624633308E-5
30 minute	1.3297362834206707E-5
day	1.0415154388268747E-5
time	8.865273389738906E-6
20 minute	8.12650992496234E-6
week	7.651272982679579E-6
p.m.	7.629406452953999E-6
short time	6.933259891446423E-6
passenger	6.34032603749252E-6
moment	5.909076567737946E-6
weekend	5.892570203643069E-6
early afternoon	5.267959351261129E-6
late afternoon	5.15919215249532E-6
pm	5.002394669765685E-6
a.m.	4.605824154290156E-6
45 minute	4.263371996829273E-6
order	4.0351532187901355E-6
guest	3.8030932627319233E-6
morning	3.6329361479245605E-6
monday	3.2108383928187393E-6
half an hour	3.102801707333966E-6
decision	3.0772555786327207E-6
fifteen minute	2.9487469865298964E-6
conclusion	2.9207662601975332E-6
half hour	2.7755141968305634E-6
wednesday	2.7540452790338824E-6
5 minute	2.713841999635969E-6
5-10 minute	2.6084774791511406E-6
tuesday	2.5723312425071533E-6
doa	2.5669539268958048E-6
2 hour	2.5603513143479364E-6
mid afternoon	2.197832229507487E-6
nov	2.0178020266729917E-6
saturday	2.0113730156464365E-6
immigrants	1.9845093070854557E-6
courtesy	1.949107545210039E-6
friday	1.9323467310653214E-6
outside	1.894967535932898E-6
thirty minute	1.8928080684262617E-6
local time	1.8061724666338543E-6
same day	1.5948856737916518E-6
flight	1.5458797341187318E-6
tomorrow	1.5395835340634439E-6
thursday	1.4651512540167723E-6
item	1.413003681417394E-6
refugee	1.351706045126809E-6
mins	1.3175734113819406E-6
aircraft	1.2076050928148221E-6
48 hour	1.196135250362512E-6
decisions	1.1882086045556549E-6
destination	1.153290365693063E-6
bit	1.1152330634056162E-6
masse	1.090381230207463E-6
figure	1.0810026329232466E-6
every time	1.070738867636302E-6
1 hour	1.049341971009155E-6
seconds	1.0386992775275348E-6
onsite	9.97490188211043E-7
short while	9.730532306391075E-7
90 minute	9.629366057458608E-7
london	9.470385924432783E-7
ulithi	9.262817882092202E-7
mid-week	9.075914633145487E-7
sunday	8.515625542652822E-7
3 hour	8.446567586694951E-7
end	8.364521164360074E-7
dec	8.32698511324698E-7
century	8.135404892943945E-7
thanks	8.11401576596814E-7
year	8.088595478362646E-7
downtown	8.004185348142367E-7
officer	7.833194147425391E-7
same time	7.829659518076816E-7
ship	7.73868605817284E-7
forty minute	7.655132781403354E-7
month	7.623660444054887E-7
jan	7.542197706213331E-7
gift	7.42762973259697E-7
noon	7.27097066264783E-7
last weekend	6.989673553335885E-7
train	6.918247847426957E-7
ok	6.839694057922864E-7
following	6.802561538188626E-7
5 hour	6.724997072620326E-7
decade	6.63206506254612E-7
incognito	6.608829765983021E-7
way	6.512031864907451E-7
crew	6.498980086083542E-7
downstairs	6.356220009738719E-7
last friday	6.286437586063036E-7
new york	6.246309691113187E-7
bearing gift	6.137223728997602E-7
stateside	5.7742052882494E-7
singapore	5.756481593551871E-7
concierge	5.747239400356201E-7
middle	5.705314779747206E-7
delhi	5.612906452437254E-7
