1	879300	1766478	2518415	3104725	4547387	5510188
2	4430180	8989251	13089121	16132057	23466233	28864357
3	5010578	10205914	14847988	18291346	27044781	32498078
4	5026294	10232344	14883109	18332103	27132235	32552343
5	5027518	10234922	14886501	18336151	27139014	32558698
6	5028513	10236078	14888073	18337973	27141810	32561950
7	5028964	10236787	14888988	18339223	27143845	32564283
8	5029297	10237366	14889738	18340220	27145378	32566048
9	5029972	10238342	14890866	18341602	27147093	32567973
10	5030277	10238853	14891561	18342445	27148189	32569231
11	5030534	10239358	14892218	18343247	27149143	32570384
12	5030756	10239814	14892812	18343908	27149975	32571363
13	5030972	10240238	14893353	18344503	27150752	32572237
14	5031164	10240616	14893837	18345042	27151443	32573017
15	5031344	10240950	14894259	18345547	27152049	32573694
16	5031511	10241275	14894673	18346016	27152661	32574355
17	5031663	10241627	14895114	18346501	27153303	32575014
18	5031782	10241883	14895465	18346903	27153804	32575615
19	5031902	10242133	14895810	18347284	27154238	32576132
20	5032020	10242366	14896117	18347633	27154630	32576594
21	5032125	10242579	14896391	18347952	27155009	32576998
22	5032228	10242765	14896621	18348243	27155377	32577377
23	.	10242954	14896858	18348548	27155706	32577723
24	.	10243150	14897093	18349343	27155980	32578033
25	.	10243303	14897292	18349589	27156332	32578309
26	.	10243439	14897467	18349812	27156594	32578676
27	.	10243652	14897731	18350114	27156843	32578949
28	.	10243793	14897905	18350342	27157063	32579201
29	.	10243926	14898084	18350557	27157277	32579447
30	.	10244050	14898249	18350764	27157503	32579686
31	.	10244156	14898395	18350961	27157727	32579906
32	.	10244259	14898533	18351147	27157922	32580140
33	.	.	14898663	18351332	27158094	32580332
34	.	.	14898764	18351483	27158251	32580512
35	.	.	.	18351625	27158407	32580690
36	.	.	.	18351761	27158571	32580849
37	.	.	.	18351894	27158721	32581036
38	.	.	.	18352036	27158891	32581176
39	.	.	.	18352157	27159044	32581320
40	.	.	.	18352258	27159175	32581477
41	.	.	.	18352382	27159415	32581628
42	.	.	.	18352497	27159546	32581770
43	.	.	.	18352606	27159674	32582015
44	.	.	.	18352818	27159789	32582143
45	.	.	.	.	27160028	32582270
46	.	.	.	.	27160166	32582380
47	.	.	.	.	27160262	32582609
48	.	.	.	.	.	32582736
49	.	.	.	.	.	32582837
