1	1766478	1766478	1766478	1766478
2	6939521	8587749	8989251	9200823
3	8799693	10081581	10205914	10210024
4	9347629	10164647	10232344	10222515
5	9505146	10170197	10234922	10223916
6	9563126	10174439	10236078	10224740
7	9590053	10175775	10236787	10225884
8	9606266	10176661	10237366	10226540
9	9619137	10177331	10238342	10227081
10	9628277	10177811	10238853	10227580
11	9635850	10178257	10239358	10228058
12	9642570	10178631	10239814	10228540
13	9648245	10179000	10240238	10228979
14	9653230	10179588	10240616	10229298
15	9657624	10180065	10240950	10229606
16	9661520	10180427	10241275	10229877
17	9665109	10180716	10241627	10230241
18	9668823	10181002	10241883	10230502
19	9671904	10181323	10242133	10230720
20	9674869	10181604	10242366	10230901
21	9677382	10181878	10242579	10231080
22	9679842	10182129	10242765	10231241
23	9682245	10182351	10242954	10231396
24	9684409	10182582	10243150	10231563
25	9686358	10182783	10243303	10231684
26	9688184	10182979	10243439	10231816
27	9690124	10183205	10243652	10231920
28	9691838	10183354	10243793	10232136
29	9693711	10183504	10243926	.
30	9695305	10183651	10244050	.
31	9696629	10183796	10244156	.
32	9698076	10183951	10244259	.
33	9699534	10184088	.	.
34	9700752	10184225	.	.
35	9701854	10184363	.	.
36	9702933	10184516	.	.
37	9704072	10184639	.	.
38	9705113	10184761	.	.
39	9706048	10184891	.	.
40	9706973	10185005	.	.
41	9707989	10185127	.	.
42	9708885	.	.	.
43	9709985	.	.	.
44	9710813	.	.	.
45	9711567	.	.	.
46	9712547	.	.	.
47	9713323	.	.	.
48	9714006	.	.	.
49	9714669	.	.	.
50	9715288	.	.	.
51	9715868	.	.	.
52	9716434	.	.	.
53	9716983	.	.	.
54	9717512	.	.	.
55	9718031	.	.	.
56	9718615	.	.	.
57	9719095	.	.	.
58	9719692	.	.	.
59	9720193	.	.	.
60	9720683	.	.	.
61	9721368	.	.	.
62	9721770	.	.	.
63	9722138	.	.	.
64	9722511	.	.	.
65	9722864	.	.	.
66	9723231	.	.	.
67	9723684	.	.	.
68	9724039	.	.	.
69	9724379	.	.	.
70	9724687	.	.	.
71	9724981	.	.	.
72	9725270	.	.	.
73	9725521	.	.	.
74	9725778	.	.	.
75	9726025	.	.	.
76	9726254	.	.	.
77	9726482	.	.	.
78	9726708	.	.	.
79	9726943	.	.	.
80	9727188	.	.	.
81	9727419	.	.	.
82	9727647	.	.	.
83	9727861	.	.	.
84	9728058	.	.	.
85	9728254	.	.	.
86	9728438	.	.	.
87	9728626	.	.	.
88	9728794	.	.	.
89	9728961	.	.	.
90	9729119	.	.	.
91	9729293	.	.	.
92	9729447	.	.	.
93	9729598	.	.	.
94	9729747	.	.	.
95	9729893	.	.	.
96	9730020	.	.	.
97	9730150	.	.	.
98	9730274	.	.	.
99	9730398	.	.	.
100	9730522	.	.	.
101	9730700	.	.	.
102	9730833	.	.	.
103	9730955	.	.	.
104	9731077	.	.	.
105	9731193	.	.	.
106	9731313	.	.	.
107	9731429	.	.	.
108	9731538	.	.	.
109	9731652	.	.	.
110	9731761	.	.	.
111	9731875	.	.	.
112	9731984	.	.	.
113	9732085	.	.	.
114	9732198	.	.	.
