#Dataset	TDControl_0.3	Global_0.3	Mine_0.3	Dist_0.3
POS	0.385	0.515	0.279628871	0.503375388
WV	0.385	0.47	0.279372443	0.471550025
Retail 	0.395	0	0.368216858	0.620840744
Syn 	0.45	0	0.324403508	0.450324748
