#rho	POS-Dist	POS-Mine	WV-Dist	WV-Mine	Retail-Dist	Retail-Mine	Syn-Dist	Syn-Mine
0.1	0.542654335	0.290734834	0.504454641	0.294645499	0.645287791	0.36950899	0.451360865	0.326937956
0.3	0.503375388	0.279628871	0.471550025	0.279372443	0.620840744	0.368216858	0.450324748	0.324403508
0.5	0.470757821	0.267705271	0.44215944	0.26447898	0.605500255	0.370700965	0.439441077	0.314891407
0.7	0.469428456	0.267169485	0.437612692	0.262366096	0.60459004	0.370369677	0.439398952	0.314900682
0.9	0.469295401	0.267022174	0.435695186	0.261369663	0.604503091	0.370402696	0.439326683	0.314879813
