CB	0.1131 	0.2736 	0.0548 
CF	0.8249 	0.9253 	0.8268 
CBCF	0.2337 	0.3874 	0.7166 
STAN	0.2409 	0.3087 	0.3193 
GRU4Rec	0.8170 	0.9377 	0.8662 
SASRec	0.7856 	0.9864 	0.8562 
SRGNN	0.8611 	0.9248 	0.8706 
SGNNHN	0.8403 	0.9415 	0.8775 
STAMP	0.8445 	0.7980 	0.8452 
whole	0.8085 	0.8702 	0.8813 
