CB	0.2400 	1.3700 	0.4722 
CF	3.2850 	4.3650 	0.8800 
CBCF	3.4050 	4.7425 	1.1000 
STAN	4.9950 	6.4700 	1.4200 
GRU4Rec	5.1100 	5.9850 	1.3200 
SASRec	5.0900 	6.2025 	1.3900 
SRGNN	5.3600 	6.2675 	1.4400 
SGNNHN	5.6164 	6.1113 	1.2228 
STAMP	5.7462 	6.9846 	1.5065 
whole	7.2990 	9.3606 	2.1087 
