#Dataset	TDControl_0.7	Global_0.7	Mine_0.7	Dist_0.7
POS	0.32	0.75	0.267169485	0.469428456
WV	0.415	0.428	0.262366096	0.437612692
Retail 	0.355	0.4	0.370369677	0.60459004
Syn 	0.425	0	0.314900682	0.439398952


