1	5079	9581	14561	18616	24515	30880
2	669	1257	1929	2526	3329	4147
3	295	531	772	1015	1010	1492
4	209	365	523	707	603	1094
5	178	344	481	656	536	962
10	194	321	507	592	524	991
15	179	305	501	575	521	934
20	178	313	446	622	515	937
25	.	306	451	608	520	977
35	.	.	.	605	518	1002
45	.	.	.	.	515	930
