#Dataset	TDControl_0.3	Global_0.3	Mine_0.3	Dist_0.3
POS	0.845	0.32	0.056271435	0.003060082
WV	0.25	0.274	0.047124797	0.001969199
Retail 	0.78	0	0.122191324	0.027958646
Syn 	0.78	0	0.059617629	0.005202293
